learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2800.0,0.731489,7.720705376317102E-9,2800.0,99.7,95.4971181556196,95.58823529411764,91.66666666666666,2800.0,43832.0,10.0,8.0,12427.499999999998,4104.274716005793,2112.0,1108.5702503675625,15.999999999999996,8.956685895029599,8.499999999999998,4.4783429475147996,8.499999999999998,4.4783429475147996,4.3,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
2900.0,0.741294,7.83231403885616E-9,2900.0,99.7,76.78018575851378,78.57142857142857,62.5,2900.0,44000.0,10.0,8.0,13032.3,4104.126488466618,2112.0,1108.5702503675625,15.999999999999996,8.956685895029599,8.499999999999998,4.4783429475147996,8.499999999999998,4.4783429475147996,4.3,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.753012,7.965698057992589E-9,3000.0,99.7,0.0,50.0,0.0,3000.0,44000.0,10.0,8.0,13627.400000000001,4116.71387827179,2136.8,1144.7577909758902,16.2,9.247221805013174,8.6,4.623610902506587,8.6,4.623610902506587,4.3,2.263232692902394,0.0,0.0,0.0,0.0,1.0,0.0
3100.0,0.766069,8.11432368846403E-9,3100.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,3100.0,44000.0,10.0,8.0,14222.4,4121.827350958688,2163.2,1136.1452176352966,16.4,9.191783770786218,8.7,4.595891885393109,8.7,4.595891885393109,4.3999999999999995,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
3200.0,0.778236,8.252818598929376E-9,3200.0,99.4,-0.30090270812560543,0.0,-100.0,3200.0,44000.0,10.0,8.0,14819.4,4109.516089381923,2188.7999999999997,1116.3317706767205,16.6,9.033271832508971,8.8,4.516635916254486,8.8,4.516635916254486,4.3999999999999995,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
3300.0,0.787573,8.359100096341634E-9,3300.0,99.4,-0.30090270812560543,0.0,-100.0,3300.0,44000.0,10.0,8.0,15404.9,4107.97615621123,2189.6,1116.9549080722402,16.6,9.033271832508971,8.8,4.516635916254486,8.8,4.516635916254486,4.3999999999999995,2.2211108331943574,0.0,0.0,0.0,0.0,1.0,0.0
3400.0,0.798552,8.484072203023563E-9,3400.0,99.7,0.0,-Infinity,-Infinity,3400.0,44000.0,10.0,8.0,16006.8,4113.613383227289,2238.4,1187.8244539212574,17.0,9.614803401237305,9.0,4.8074017006186525,9.0,4.8074017006186525,4.6,2.3190036174568114,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,0.816272,8.685775976628062E-9,3500.0,99.5,85.4600442014656,84.375,70.58823529411765,3500.0,44000.0,10.0,8.0,16606.1,4120.931460240512,2312.8,1181.8987360270012,17.6,9.57078889120432,9.3,4.78539444560216,9.3,4.78539444560216,4.8,2.14993539954628,0.0,0.0,0.0,0.0,1.0,0.0
3600.0,0.830753,8.850610759109255E-9,3600.0,99.5,94.78623566214807,94.31818181818181,90.0,3600.0,44000.0,10.0,8.0,17202.199999999997,4120.677527893791,2336.8000000000006,1221.20785381614,17.8,9.897249898611006,9.4,4.948624949305503,9.4,4.948624949305503,4.8,2.14993539954628,0.0,0.0,0.0,0.0,1.0,0.0
3700.0,0.855244,9.105869049413333E-9,3700.0,98.4,89.93153443415223,88.23529411764704,82.60869565217389,3700.0,40288.0,10.0,11.0,12164.9,8785.593819809033,1867.1999999999998,1479.4747416266057,14.0,12.009255689767881,7.499999999999999,6.004627844883941,7.499999999999999,6.004627844883941,3.5,2.3213980461973533,0.0,0.0,0.0,0.0,1.0,0.0
